epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1842,2.09972,2.72017,1.34088,0.77652,0.06806,0.26911,0.13124,1.94831,2.84227,1.27575,0.00047092,0.00047092,0.00047092
2,67.3289,2.04145,2.12523,1.33961,0.51946,0.3625,0.34414,0.15958,1.98839,2.05239,1.36847,0.000928498,0.000928498,0.000928498
3,99.3634,2.01921,1.92333,1.32991,0.62444,0.40417,0.44695,0.19862,1.92925,1.60175,1.34179,0.00136721,0.00136721,0.00136721
4,129,2.00946,1.77647,1.30941,0.51868,0.35833,0.38625,0.17552,1.99226,1.68884,1.37143,0.00134412,0.00134412,0.00134412
5,157.692,1.97073,1.66699,1.31495,0.57248,0.39444,0.42045,0.19586,1.93129,1.6192,1.34947,0.00131582,0.00131582,0.00131582
6,184.787,1.93404,1.5828,1.29724,0.59826,0.4625,0.48272,0.22206,1.84115,1.50571,1.28849,0.00128753,0.00128753,0.00128753
7,214.267,1.91805,1.55505,1.27968,0.65495,0.46528,0.5157,0.2439,1.84799,1.45615,1.29812,0.00125923,0.00125923,0.00125923
8,242.742,1.9129,1.52106,1.29506,0.71155,0.43611,0.51172,0.25115,1.82494,1.39981,1.27596,0.00123094,0.00123094,0.00123094
9,269.594,1.87016,1.49433,1.26158,0.63883,0.4471,0.49412,0.24188,1.8279,1.40668,1.28263,0.00120265,0.00120265,0.00120265
10,299.17,1.88655,1.46709,1.25632,0.74078,0.385,0.48455,0.23136,1.88662,1.43842,1.29823,0.00117435,0.00117435,0.00117435
11,328.903,1.81143,1.42109,1.23614,0.62837,0.45972,0.5064,0.24426,1.83867,1.37039,1.31269,0.00114606,0.00114606,0.00114606
12,355.791,1.82771,1.38044,1.23976,0.65536,0.44899,0.50299,0.24927,1.83788,1.4002,1.28159,0.00111776,0.00111776,0.00111776
13,384.886,1.82205,1.39754,1.23128,0.7237,0.44444,0.51811,0.25541,1.77703,1.34696,1.24967,0.00108947,0.00108947,0.00108947
14,414.522,1.80915,1.3712,1.21961,0.6399,0.42204,0.47065,0.23424,1.87167,1.44706,1.30165,0.00106118,0.00106118,0.00106118
15,442.297,1.75851,1.32448,1.20643,0.67877,0.48333,0.54033,0.2722,1.7549,1.26224,1.23851,0.00103288,0.00103288,0.00103288
16,471.008,1.74676,1.30465,1.1983,0.65984,0.50278,0.54615,0.27132,1.75973,1.27818,1.25517,0.00100459,0.00100459,0.00100459
17,500.67,1.7513,1.31243,1.1926,0.74362,0.45924,0.55203,0.28115,1.73557,1.28434,1.21983,0.000976293,0.000976293,0.000976293
18,528.429,1.75701,1.31673,1.20326,0.73264,0.47778,0.5573,0.28175,1.7281,1.22051,1.22165,0.000947999,0.000947999,0.000947999
19,556.28,1.72753,1.28667,1.19883,0.70056,0.5,0.56717,0.28789,1.73644,1.21094,1.23291,0.000919704,0.000919704,0.000919704
20,585.648,1.73959,1.29471,1.19567,0.70654,0.47818,0.56101,0.29185,1.7166,1.22157,1.21789,0.00089141,0.00089141,0.00089141
21,614.277,1.70741,1.25353,1.18452,0.65888,0.50703,0.55747,0.27857,1.75654,1.25836,1.22506,0.000863116,0.000863116,0.000863116
22,641.643,1.684,1.23674,1.17457,0.63213,0.46806,0.52469,0.26424,1.75925,1.28671,1.25408,0.000834822,0.000834822,0.000834822
23,670.959,1.70701,1.24242,1.1899,0.70916,0.46528,0.56248,0.28901,1.7168,1.20835,1.19703,0.000806528,0.000806528,0.000806528
24,700.1,1.67752,1.22452,1.16132,0.73578,0.48056,0.56242,0.29328,1.74612,1.19667,1.2084,0.000778233,0.000778233,0.000778233
25,727.712,1.68906,1.22358,1.16765,0.73097,0.46793,0.54906,0.28681,1.68662,1.21917,1.2069,0.000749939,0.000749939,0.000749939
26,757.349,1.62494,1.17622,1.15355,0.6469,0.52222,0.5712,0.29173,1.71778,1.18619,1.20737,0.000721645,0.000721645,0.000721645
27,786.112,1.6425,1.20577,1.14697,0.6605,0.5134,0.56167,0.28821,1.68649,1.18578,1.19746,0.000693351,0.000693351,0.000693351
28,813.419,1.63572,1.17497,1.14032,0.7213,0.49965,0.5833,0.30101,1.71495,1.16093,1.2019,0.000665057,0.000665057,0.000665057
29,842.981,1.59489,1.14299,1.13246,0.69578,0.52096,0.58728,0.29927,1.71705,1.16736,1.21034,0.000636762,0.000636762,0.000636762
30,872.363,1.62399,1.15456,1.14092,0.71331,0.475,0.56178,0.29771,1.71514,1.19215,1.20671,0.000608468,0.000608468,0.000608468
31,899.54,1.5966,1.12366,1.14409,0.74083,0.49444,0.58863,0.3091,1.68038,1.15647,1.18462,0.000580174,0.000580174,0.000580174
32,929.214,1.57589,1.10246,1.11918,0.71549,0.50994,0.58404,0.30788,1.69447,1.12979,1.20921,0.00055188,0.00055188,0.00055188
33,958.545,1.5643,1.10801,1.12212,0.71436,0.5125,0.57409,0.2984,1.71819,1.14174,1.21002,0.000523586,0.000523586,0.000523586
34,984.883,1.57865,1.10587,1.11984,0.7467,0.47361,0.57014,0.29931,1.6917,1.13673,1.19968,0.000495291,0.000495291,0.000495291
35,1014.07,1.57213,1.09792,1.11849,0.72799,0.49067,0.57374,0.30687,1.69036,1.14907,1.19509,0.000466997,0.000466997,0.000466997
36,1043.4,1.55003,1.06563,1.10914,0.70786,0.49807,0.58452,0.30007,1.70985,1.1398,1.21025,0.000438703,0.000438703,0.000438703
